Athlete,Country,Sport,Event,Medal
MAKHLOUFI Taoufik,Algeria,Athletics,Men's 1500m,silver
MAKHLOUFI Taoufik,Algeria,Athletics,Men's 800m,silver
BRUNET Manuel,Argentina,Hockey,Men,gold
CALLIONI Facundo,Argentina,Hockey,Men,gold
GILARDI Juan,Argentina,Hockey,Men,gold
IBARRA Isidoro,Argentina,Hockey,Men,gold
IBARRA Pedro,Argentina,Hockey,Men,gold
LOPEZ Juan,Argentina,Hockey,Men,gold
MASSO Luca,Argentina,Hockey,Men,gold
MAZZILLI Agustin,Argentina,Hockey,Men,gold
MENINI Joaquin,Argentina,Hockey,Men,gold
ORTIZ Ignacio,Argentina,Hockey,Men,gold
PAREDES Matias,Argentina,Hockey,Men,gold
PEILLAT Gonzalo,Argentina,Hockey,Men,gold
REY Lucas,Argentina,Hockey,Men,gold
REY Matias,Argentina,Hockey,Men,gold
ROSSI Lucas,Argentina,Hockey,Men,gold
SALADINO Juan,Argentina,Hockey,Men,gold
VILA Lucas,Argentina,Hockey,Men,gold
VIVALDI Juan,Argentina,Hockey,Men,gold
PARETO Paula,Argentina,Judo,Women -48 kg,gold
CARRANZA SAROLI Cecilia,Argentina,Sailing,Nacra 17 Mixed,gold
LANGE Santiago,Argentina,Sailing,Nacra 17 Mixed,gold
DEL POTRO Juan Martin,Argentina,Tennis,Men's Singles,silver
MARTIROSYAN Simon,Armenia,Weightlifting,Men's 105kg,silver
MINASYAN Gor,Armenia,Weightlifting,Men's +105kg,silver
ARUTYUNYAN Migran,Armenia,Wrestling,Men's Greco-Roman 66 kg,silver
ALEKSANYAN Artur,Armenia,Wrestling,Men's Greco-Roman 98 kg,gold
POTTS Alec,Australia,Archery,Men's Team,bronze
TYACK Ryan,Australia,Archery,Men's Team,bronze
WORTH Taylor,Australia,Archery,Men's Team,bronze
TALLENT Jared,Australia,Athletics,Men's 50km Walk,silver
BIRD-SMITH Dane,Australia,Athletics,Men's 20km Walk,bronze
FOX Jessica,Australia,Canoe Slalom,Kayak (K1) Women,bronze
TAME Lachlan,Australia,Canoe Sprint,Men's Kayak Double 1000m,bronze
WALLACE Ken,Australia,Canoe Sprint,Men's Kayak Double 1000m,bronze
BOBRIDGE Jack,Australia,Cycling Track,Men's Team Pursuit,silver
EDMONDSON Alexander,Australia,Cycling Track,Men's Team Pursuit,silver
HEPBURN Michael,Australia,Cycling Track,Men's Team Pursuit,silver
O'SHEA Glenn,Australia,Cycling Track,Men's Team Pursuit,silver
SCOTSON Callum,Australia,Cycling Track,Men's Team Pursuit,silver
WELSFORD Sam,Australia,Cycling Track,Men's Team Pursuit,silver
MEARES Anna,Australia,Cycling Track,Women's Keirin,bronze
KEENEY Maddison,Australia,Diving,Women's Synchronised 3m Springboard,bronze
SMITH Anabelle,Australia,Diving,Women's Synchronised 3m Springboard,bronze
BURTON Christopher,Australia,Equestrian,Eventing Team,bronze
GRIFFITHS Sam,Australia,Equestrian,Eventing Team,bronze
ROSE Shane,Australia,Equestrian,Eventing Team,bronze
TINNEY Stuart,Australia,Equestrian,Eventing Team,bronze
ESPOSITO Chloe,Australia,Modern Pentathlon,Women's Individual,gold
BELONOGOFF Alexander,Australia,Rowing,Men's Quadruple Sculls,silver
BOOTH Joshua,Australia,Rowing,Men's Four,silver
DUNKLEY-SMITH Joshua,Australia,Rowing,Men's Four,silver
FORSTERLING Karsten,Australia,Rowing,Men's Quadruple Sculls,silver
GIRDLESTONE Cameron,Australia,Rowing,Men's Quadruple Sculls,silver
HILL Alexander,Australia,Rowing,Men's Four,silver
LOCKWOOD William,Australia,Rowing,Men's Four,silver
MCRAE James,Australia,Rowing,Men's Quadruple Sculls,silver
BRENNAN Kimberley,Australia,Rowing,Women's Single Sculls,gold
BECK Nicole,Australia,Rugby Sevens,Women,gold
CASLICK Charlotte,Australia,Rugby Sevens,Women,gold
CHERRY Emilee,Australia,Rugby Sevens,Women,gold
DALTON Chloe,Australia,Rugby Sevens,Women,gold
ETHERIDGE Gemma,Australia,Rugby Sevens,Women,gold
GREEN Ellia,Australia,Rugby Sevens,Women,gold
PARRY Shannon,Australia,Rugby Sevens,Women,gold
PELITE Evania,Australia,Rugby Sevens,Women,gold
QUIRK Alicia,Australia,Rugby Sevens,Women,gold
TONEGATO Emma,Australia,Rugby Sevens,Women,gold
TURNER Amy,Australia,Rugby Sevens,Women,gold
WILLIAMS Sharni,Australia,Rugby Sevens,Women,gold
BELCHER Mathew,Australia,Sailing,470 Men,silver
DARMANIN Lisa,Australia,Sailing,Nacra 17 Mixed,silver
JENSEN Iain,Australia,Sailing,49er Men,silver
OUTTERIDGE Nathan,Australia,Sailing,49er Men,silver
RYAN Will,Australia,Sailing,470 Men,silver
WATERHOUSE Jason,Australia,Sailing,Nacra 17 Mixed,silver
BURTON Tom,Australia,Sailing,Laser Men,gold
SKINNER Catherine,Australia,Shooting,Trap Women,gold
MCKEON Emma,Australia,Swimming,Women's 4 x 100m Medley Relay,silver
MCKEON Emma,Australia,Swimming,Women's 4 x 200m Freestyle Relay,silver
CAMPBELL Cate,Australia,Swimming,Women's 4 x 100m Medley Relay,silver
ELMSLIE Brittany,Australia,Swimming,Women's 4 x 100m Medley Relay,silver
WILSON Madison,Australia,Swimming,Women's 4 x 100m Medley Relay,silver
GROVES Madeline,Australia,Swimming,Women's 4 x 100m Medley Relay,silver
GROVES Madeline,Australia,Swimming,Women's 200m Butterfly,silver
LARKIN Mitchell,Australia,Swimming,Men's 200m Backstroke,silver
ASHWOOD Jessica,Australia,Swimming,Women's 4 x 200m Freestyle Relay,silver
BARRATT Bronte,Australia,Swimming,Women's 4 x 200m Freestyle Relay,silver
COOK Tamsin,Australia,Swimming,Women's 4 x 200m Freestyle Relay,silver
MCKEOWN Taylor,Australia,Swimming,Women's 4 x 100m Medley Relay,silver
NEALE Leah,Australia,Swimming,Women's 4 x 200m Freestyle Relay,silver
SEEBOHM Emily,Australia,Swimming,Women's 4 x 100m Medley Relay,silver
MCKEON Emma,Australia,Swimming,Women's 4 x 100m Freestyle Relay,gold
CAMPBELL Cate,Australia,Swimming,Women's 4 x 100m Freestyle Relay,gold
ELMSLIE Brittany,Australia,Swimming,Women's 4 x 100m Freestyle Relay,gold
WILSON Madison,Australia,Swimming,Women's 4 x 100m Freestyle Relay,gold
CHALMERS Kyle,Australia,Swimming,Men's 100m Freestyle,gold
CAMPBELL Bronte,Australia,Swimming,Women's 4 x 100m Freestyle Relay,gold
HORTON Mack,Australia,Swimming,Men's 400m Freestyle,gold
MCKEON Emma,Australia,Swimming,Women's 200m Freestyle,bronze
CHALMERS Kyle,Australia,Swimming,Men's 4 x 100m Medley Relay,bronze
CHALMERS Kyle,Australia,Swimming,Men's 4 x 100m Freestyle Relay,bronze
LARKIN Mitchell,Australia,Swimming,Men's 4 x 100m Medley Relay,bronze
MCEVOY Cameron,Australia,Swimming,Men's 4 x 100m Medley Relay,bronze
MCEVOY Cameron,Australia,Swimming,Men's 4 x 100m Freestyle Relay,bronze
ABOOD Matthew,Australia,Swimming,Men's 4 x 100m Freestyle Relay,bronze
MAGNUSSEN James,Australia,Swimming,Men's 4 x 100m Freestyle Relay,bronze
MORGAN David,Australia,Swimming,Men's 4 x 100m Medley Relay,bronze
PACKARD Jake,Australia,Swimming,Men's 4 x 100m Medley Relay,bronze
ROBERTS James,Australia,Swimming,Men's 4 x 100m Freestyle Relay,bronze
FRANK Tanja,Austria,Sailing,Nacra 17 Mixed,bronze
ZAJAC Thomas,Austria,Sailing,Nacra 17 Mixed,bronze
SOTOMAYOR COLLAZO Lorenzo,Azerbaijan,Boxing,Men's Light Welter (64kg),silver
SHAKHSUVARLY Kamran,Azerbaijan,Boxing,Men's Middle (75kg),bronze
DEMYANENKO Valentin,Azerbaijan,Canoe Sprint,Men's Canoe Single 200m,silver
OSIPENKO-RODOMSKA Inna,Azerbaijan,Canoe Sprint,Women's Kayak Single 200m,bronze
GASIMOV Elmar,Azerbaijan,Judo,Men -100 kg,silver
ORUJOV Rustam,Azerbaijan,Judo,Men -73 kg,silver
ISAEV Radik,Azerbaijan,Taekwondo,Men +80kg,gold
ABAKAROVA Patimat,Azerbaijan,Taekwondo,Women -49kg,bronze
BEIGI HARCHEGANI Milad,Azerbaijan,Taekwondo,Men -80kg,bronze
ASGAROV Toghrul,Azerbaijan,Wrestling,Men's Freestyle 65 kg,silver
GOZIUMOV Khetag,Azerbaijan,Wrestling,Men's Freestyle 97 kg,silver
STADNIK Mariya,Azerbaijan,Wrestling,Women's Freestyle 48 kg,silver
ALIYEV Haji,Azerbaijan,Wrestling,Men's Freestyle 57 kg,bronze
CHUNAYEV Rasul,Azerbaijan,Wrestling,Men's Greco-Roman 66 kg,bronze
HASANOV Jabrayil,Azerbaijan,Wrestling,Men's Freestyle 74 kg,bronze
SHARIATI Sabah,Azerbaijan,Wrestling,Men's Greco-Roman 130 kg,bronze
SHARIFOV Sharif,Azerbaijan,Wrestling,Men's Freestyle 86 kg,bronze
SINISHIN Natalya,Azerbaijan,Wrestling,Women's Freestyle 53 kg,bronze
MILLER Shaunae,Bahamas,Athletics,Women's 400m,gold
BROWN Chris,Bahamas,Athletics,Men's 4 x 400m Relay,bronze
GARDINER Steven,Bahamas,Athletics,Men's 4 x 400m Relay,bronze
MATHIEU Michael,Bahamas,Athletics,Men's 4 x 400m Relay,bronze
NEWBOLD Stephen,Bahamas,Athletics,Men's 4 x 400m Relay,bronze
PINDER Demetrius,Bahamas,Athletics,Men's 4 x 400m Relay,bronze
RUSSELL Alonzo,Bahamas,Athletics,Men's 4 x 400m Relay,bronze
KIRWA Eunice Jepkirui,Bahrain,Athletics,Women's Marathon,silver
JEBET Ruth,Bahrain,Athletics,Women's 3000m Steeplechase,gold
TSIKHAN Ivan,Belarus,Athletics,Men's Hammer Throw,silver
KHUDZENKA Volha,Belarus,Canoe Sprint,Women's Kayak Four 500m,bronze
LIAPESHKA Nadzeya,Belarus,Canoe Sprint,Women's Kayak Four 500m,bronze
LITVINCHUK Maryna,Belarus,Canoe Sprint,Women's Kayak Four 500m,bronze
MAKHNEVA Marharyta,Belarus,Canoe Sprint,Women's Kayak Four 500m,bronze
HERASIMENIA Aliaksandra,Belarus,Swimming,Women's 50m Freestyle,bronze
HANCHAROU Uladzislau,Belarus,Trampoline Gymnastics,Men,gold
NAUMAVA Darya,Belarus,Weightlifting,Women's 75kg,silver
STRALTSOU Vadzim,Belarus,Weightlifting,Men's 94kg,silver
MAMASHUK Maryia,Belarus,Wrestling,Women's Freestyle 63 kg,silver
HAMZATAU Javid,Belarus,Wrestling,Men's Greco-Roman 85 kg,bronze
SAIDAU Ibrahim,Belarus,Wrestling,Men's Freestyle 125 kg,bronze
THIAM Nafissatou,Belgium,Athletics,Women's Heptathlon,gold
VAN AVERMAET Greg,Belgium,Cycling Road,Men's Road Race,gold
D'HOORE Jolien,Belgium,Cycling Track,Women's Omnium,bronze
BOCCARD Gauthier,Belgium,Hockey,Men,silver
BOON Tom,Belgium,Hockey,Men,silver
BRIELS Thomas,Belgium,Hockey,Men,silver
CHARLIER Cedric,Belgium,Hockey,Men,silver
COSYNS Tanguy,Belgium,Hockey,Men,silver
DE PAEUW Alexandre,Belgium,Hockey,Men,silver
DENAYER Felix,Belgium,Hockey,Men,silver
DOCKIER Sebastien,Belgium,Hockey,Men,silver
DOHMEN John-John,Belgium,Hockey,Men,silver
GOUGNARD Simon,Belgium,Hockey,Men,silver
HENDRICKX Alexander,Belgium,Hockey,Men,silver
LUYPAERT Loick,Belgium,Hockey,Men,silver
STOCKBROEKX Emmanuel,Belgium,Hockey,Men,silver
TRUYENS Jerome,Belgium,Hockey,Men,silver
VAN AUBEL Florent,Belgium,Hockey,Men,silver
VAN DOREN Arthur,Belgium,Hockey,Men,silver
VAN STRYDONCK Elliot,Belgium,Hockey,Men,silver
VANASCH Vincent,Belgium,Hockey,Men,silver
VAN TICHELT Dirk,Belgium,Judo,Men -73 kg,bronze
TIMMERS Pieter,Belgium,Swimming,Men's 100m Freestyle,silver
HYPOLITO Diego,Brazil,Artistic Gymnastics,Men's Floor Exercise,silver
ZANETTI Arthur,Brazil,Artistic Gymnastics,Men's Rings,silver
MARIANO Arthur,Brazil,Artistic Gymnastics,Men's Floor Exercise,bronze
DA SILVA Thiago Braz,Brazil,Athletics,Men's Pole Vault,gold
BEDNARCZUK Agatha,Brazil,Beach Volleyball,Women,silver
SEIXAS DE FREITAS Barbara,Brazil,Beach Volleyball,Women,silver
CERUTTI Alison,Brazil,Beach Volleyball,Men,gold
OSCAR SCHMIDT Bruno,Brazil,Beach Volleyball,Men,gold
CONCEICAO Robson,Brazil,Boxing,Men's Light (60kg),gold
QUEIROZ DOS SANTOS Isaquias,Brazil,Canoe Sprint,Men's Canoe Double 1000m,silver
QUEIROZ DOS SANTOS Isaquias,Brazil,Canoe Sprint,Men's Canoe Single 1000m,silver
DE SOUZA SILVA Erlon,Brazil,Canoe Sprint,Men's Canoe Double 1000m,silver
